ID_cliente,Nombre,Edad,Género,Región,Nivel_educacional,Satisfacción_servicio (1-5),Tiempo_respuesta (minutos),Recomendaría_empresa,Compras_último_mes
44,Fátima,24.0,Masculino,Ñuble,Media,2,35.22,Sí,3
45,Maxi,38.0,Femenino,Arica y Parinacota,Básica,2,39.39,No,2
46,Macarena,26.0,Femenino,Los Lagos,Universitaria,4,21.21,Sí,2
47,Severo,56.0,,Valparaíso,Media,4,34.22,No,6
48,Cleto,35.0,Femenino,Atacama,Postgrado,1,,Sí,3
49,Miguel Ángel,21.0,Masculino,Antofagasta,Postgrado,2,14.53,Sí,3
50,Fabiana,42.0,Masculino,Tarapacá,,3,33.23,,0
51,Baltasar,31.0,No binario,Metropolitana,Universitaria,2,26.46,Sí,7
52,Eulalia,67.0,Femenino,Maule,Universitaria,2,46.2,Sí,4
53,Godofredo,26.0,Femenino,Araucanía,Básica,1,38.66,Sí,5
54,Noé,43.0,Masculino,Antofagasta,Básica,3,34.39,Sí,3
55,Fortunata,19.0,Masculino,Magallanes,Técnica,2,9.59,,4
56,Edelmira,37.0,Femenino,Valparaíso,,3,34.45,Sí,5
57,Julieta,,Femenino,Maule,Universitaria,4,22.39,Sí,3
58,Gregorio,64.0,Femenino,Magallanes,Técnica,4,38.74,Sí,3
59,Josué,24.0,Femenino,Tarapacá,Básica,3,28.4,Sí,4
60,Heliodoro,61.0,,Metropolitana,Media,2,,Sí,5
61,Dionisia,25.0,Masculino,Coquimbo,Postgrado,3,25.63,Sí,5
62,Zaida,64.0,Femenino,Coquimbo,Básica,3,26.3,No,2
63,Nicodemo,,Masculino,Biobío,Básica,4,16.53,,4
64,Ariadna,31.0,Masculino,Metropolitana,Media,3,17.84,No,6
65,Néstor,34.0,Femenino,Maule,Universitaria,5,26.65,Sí,6
66,Adriana,53.0,No binario,Atacama,Media,5,45.55,Sí,10
67,Hilda,67.0,Masculino,Maule,Básica,4,,No,3
68,María Pilar,57.0,Femenino,Aysén,Universitaria,2,38.04,Sí,6
69,Adelia,21.0,Masculino,Magallanes,,2,41.97,Sí,5
70,Virgilio,19.0,Masculino,Los Lagos,Básica,4,32.81,Sí,5
71,Luz,23.0,,Los Ríos,,2,25.43,Sí,5
72,Ester,59.0,Masculino,Biobío,Técnica,1,25.89,Sí,1
73,Agustina,21.0,,Ñuble,Postgrado,5,21.74,Sí,9
74,Feliciana,46.0,Masculino,Maule,Técnica,1,38.11,,6
75,Adelina,35.0,Femenino,Los Ríos,Media,1,20.64,,2
76,María Manuela,43.0,No binario,Atacama,Técnica,1,50.9,Sí,2
77,Griselda,61.0,Masculino,Antofagasta,Media,4,20.97,Sí,10
78,Florentina,51.0,,Tarapacá,Básica,1,42.23,No,6
79,Zaida,27.0,Masculino,Maule,Universitaria,3,42.28,Sí,4
80,Begoña,53.0,Femenino,Araucanía,Postgrado,2,36.24,No,3
81,Jaime,,Masculino,Tarapacá,Universitaria,4,46.21,Sí,7
82,Roldán,48.0,Masculino,Valparaíso,Universitaria,3,28.04,Sí,7
83,Serafina,65.0,Masculino,Coquimbo,Universitaria,3,31.28,,9
84,Rubén,32.0,Masculino,Los Lagos,Media,5,32.24,Sí,7
85,Sabina,25.0,,Coquimbo,Media,5,35.9,Sí,6
86,Aarón,31.0,Femenino,Atacama,Postgrado,3,11.81,Sí,5
87,Lalo,40.0,Femenino,Magallanes,Media,5,28.94,Sí,5
88,Julián,,,Valparaíso,Media,2,38.58,No,5
89,Luciano,38.0,Femenino,Coquimbo,Media,2,26.28,Sí,4
90,Macarena,33.0,Masculino,Biobío,Media,5,49.6,Sí,5
91,Celestina,62.0,Masculino,Atacama,Básica,1,31.28,No,6
92,Gabriel,35.0,Masculino,Los Ríos,Postgrado,3,35.15,,8
93,Amarilis,64.0,Masculino,Maule,Media,2,45.51,,5
94,Chus,41.0,Femenino,Los Ríos,Postgrado,5,31.29,Sí,2
95,Rosalina,43.0,,Valparaíso,Técnica,5,,,3
96,Godofredo,42.0,Masculino,Biobío,Básica,2,35.83,Sí,5
97,Maxi,62.0,Masculino,Ñuble,Media,2,35.85,No,5
98,Melchor,58.0,,Magallanes,,1,21.11,Sí,3
99,Albano,46.0,Femenino,Ñuble,,5,41.06,Sí,5
100,Manuelita,32.0,Masculino,Los Ríos,Técnica,5,23.94,,3
101,Aitana,62.0,No binario,Ñuble,Postgrado,4,28.14,Sí,10
102,Rosalina,,,Los Ríos,Básica,1,42.59,Sí,6
103,Gaspar,,Masculino,Antofagasta,Universitaria,2,26.33,No,3
104,Fidela,24.0,Masculino,Ñuble,Técnica,2,33.48,Sí,3
105,Tecla,26.0,Femenino,Valparaíso,Universitaria,3,29.46,Sí,7
106,Felipa,,,Los Lagos,,2,29.81,,5
107,Edu,18.0,Femenino,Arica y Parinacota,Universitaria,5,28.51,Sí,8
108,Tamara,61.0,Masculino,Coquimbo,Universitaria,2,19.64,No,5
109,Francisca,25.0,Masculino,Ñuble,Básica,5,35.45,Sí,8
110,Raúl,41.0,Femenino,Valparaíso,Básica,5,36.34,No,6
111,Merche,,Femenino,Aysén,Técnica,1,,Sí,6
112,Patricio,68.0,Masculino,Biobío,Postgrado,2,25.58,No,8
113,René,34.0,,O’Higgins,Básica,1,39.13,Sí,8
114,Aurelio,25.0,Femenino,Biobío,Básica,5,,No,6
115,Eugenio,52.0,Femenino,Aysén,Media,2,30.93,Sí,5
116,Nilo,52.0,Femenino,Aysén,Básica,2,,No,3
117,Amarilis,50.0,Femenino,Maule,Postgrado,1,29.37,Sí,5
118,Lisandro,22.0,Masculino,Biobío,Media,1,21.24,,4
119,Olivia,,Femenino,Antofagasta,Universitaria,5,23.95,,5
120,Víctor,,Masculino,Tarapacá,,5,22.36,No,3
121,Lupe,58.0,Femenino,Los Ríos,Media,2,38.63,Sí,4
122,Ambrosio,45.0,Masculino,Atacama,Media,2,16.7,,6
123,Patricio,24.0,Femenino,O’Higgins,Media,4,32.67,Sí,12
124,Gracia,26.0,,Biobío,Técnica,4,27.77,No,5
125,Adrián,25.0,Masculino,Magallanes,Postgrado,3,43.96,Sí,8
126,África,29.0,Masculino,Magallanes,Postgrado,5,37.79,Sí,9
127,Pilar,51.0,Masculino,O’Higgins,Universitaria,3,17.6,Sí,5
128,Emilia,50.0,Femenino,Antofagasta,,3,24.39,Sí,6
129,Evita,65.0,Femenino,Atacama,Universitaria,1,29.86,Sí,6
130,Camila,,Femenino,Antofagasta,Básica,1,24.39,Sí,0
131,Georgina,41.0,Masculino,Ñuble,Universitaria,4,39.08,,5
132,Isabela,54.0,Masculino,Tarapacá,Media,3,,No,4
133,Marc,52.0,Masculino,Atacama,Universitaria,4,28.07,Sí,2
134,África,61.0,Masculino,Valparaíso,Media,5,,Sí,6
135,Reyna,57.0,,Biobío,,2,,Sí,5
136,Trinidad,39.0,Masculino,Los Lagos,Básica,1,27.34,Sí,4
137,Merche,44.0,,Magallanes,Básica,5,32.48,,6
138,Herminia,52.0,Masculino,Biobío,Postgrado,5,28.59,No,3
139,Itziar,18.0,Masculino,Coquimbo,Técnica,1,-1.05,No,10
140,Candelario,52.0,Femenino,Antofagasta,Media,1,,Sí,6
141,Pastora,54.0,Femenino,Tarapacá,Técnica,3,35.03,Sí,5
142,Chema,64.0,Masculino,Maule,Básica,4,19.87,Sí,6
143,Dani,31.0,Masculino,Aysén,,5,8.17,No,4
144,Jordana,20.0,,Arica y Parinacota,Técnica,3,23.22,Sí,5
145,Leonor,18.0,Masculino,Maule,Básica,3,27.97,Sí,3
146,Porfirio,,Masculino,Arica y Parinacota,Media,5,28.89,No,5
147,Emigdio,43.0,No binario,Aysén,Media,5,10.33,Sí,4
148,Rosalva,31.0,Femenino,Los Lagos,Básica,2,32.03,Sí,3
149,María Dolores,56.0,Femenino,Metropolitana,Media,4,40.29,Sí,6
150,Yago,44.0,,Valparaíso,,5,39.57,No,4
151,Clarisa,,Masculino,Metropolitana,Universitaria,1,42.22,Sí,3
152,Espiridión,,Femenino,Aysén,Universitaria,2,17.87,No,5
153,Chelo,32.0,Femenino,Antofagasta,Media,4,38.79,No,4
154,Modesto,43.0,Femenino,Los Lagos,Media,1,20.66,No,1
155,Brígida,59.0,Masculino,Antofagasta,Básica,1,37.89,Sí,3
156,Damián,30.0,Femenino,Los Ríos,Media,4,,No,5
157,Che,68.0,Masculino,Biobío,Postgrado,2,33.52,Sí,6
158,Trinidad,49.0,Femenino,Arica y Parinacota,Universitaria,1,45.35,,3
159,Ciríaco,56.0,Femenino,Atacama,Media,3,39.33,,5
160,Marc,66.0,Femenino,Araucanía,,4,20.78,Sí,3
161,Alejandro,69.0,Masculino,Tarapacá,Técnica,4,18.61,No,7
162,Che,49.0,Femenino,Ñuble,Media,5,37.76,No,5
163,Macario,21.0,Masculino,O’Higgins,Postgrado,2,43.19,Sí,4
164,Corona,47.0,Masculino,Antofagasta,,3,34.3,No,9
165,Chus,,Masculino,Metropolitana,Técnica,3,24.89,No,2
166,Itziar,40.0,Femenino,Metropolitana,Básica,5,30.42,No,2
167,Cleto,,Masculino,Araucanía,Básica,1,34.32,Sí,6
168,Montserrat,62.0,Masculino,Maule,,1,29.1,Sí,12
169,Marina,32.0,,Valparaíso,Básica,3,,Sí,2
170,Gracia,60.0,Masculino,Arica y Parinacota,Postgrado,2,40.64,Sí,6
171,Armando,46.0,Femenino,O’Higgins,Media,1,48.78,Sí,3
172,Amílcar,53.0,Masculino,Arica y Parinacota,Universitaria,4,44.27,No,6
173,Jimena,30.0,Masculino,Antofagasta,Técnica,5,8.29,No,9
174,Victoria,49.0,Femenino,Biobío,Media,2,41.56,Sí,4
175,Obdulia,24.0,Masculino,Coquimbo,Básica,1,35.78,Sí,5
176,Aurelia,68.0,,O’Higgins,Básica,3,23.43,Sí,5
177,Florencia,39.0,Femenino,Maule,Técnica,5,10.38,Sí,2
178,Eliseo,45.0,Femenino,Aysén,Postgrado,1,28.86,Sí,4
179,Álvaro,19.0,Femenino,Metropolitana,Técnica,3,33.64,No,7
180,Rosalía,59.0,,Magallanes,Universitaria,1,18.93,Sí,5
181,Micaela,62.0,Masculino,Maule,Técnica,5,42.32,Sí,5
182,Felicidad,23.0,Femenino,Biobío,,4,42.08,Sí,6
183,Guadalupe,45.0,Femenino,Antofagasta,Postgrado,4,34.68,,5
184,Angelina,45.0,Femenino,Los Ríos,Postgrado,3,,No,3
185,Fermín,61.0,Femenino,Coquimbo,Técnica,4,27.38,No,5
186,Rebeca,61.0,Femenino,Ñuble,Universitaria,5,37.24,Sí,6
187,Isaac,37.0,Femenino,O’Higgins,Básica,3,36.58,No,5
188,Marita,47.0,,Araucanía,Media,1,,Sí,5
189,Herminio,28.0,Femenino,Arica y Parinacota,Postgrado,2,24.48,Sí,9
190,Estela,45.0,Femenino,O’Higgins,Técnica,1,22.75,Sí,6
191,Tere,42.0,Masculino,Metropolitana,Universitaria,5,27.17,Sí,4
192,Marcelo,56.0,Femenino,Arica y Parinacota,Universitaria,3,25.13,Sí,5
193,Leonor,50.0,,Los Ríos,Básica,1,23.31,Sí,7
194,Amada,18.0,,Los Ríos,Postgrado,3,28.62,Sí,6
195,Graciana,44.0,Masculino,Ñuble,Básica,4,30.4,Sí,6
196,María Fernanda,69.0,Masculino,Araucanía,Media,2,40.87,,4
197,Juan Antonio,30.0,Femenino,Ñuble,Media,5,12.19,Sí,6
198,Tatiana,58.0,No binario,Aysén,Media,1,42.19,No,5
199,Sebastian,,Masculino,Araucanía,Universitaria,2,22.53,Sí,7
200,Narcisa,56.0,Masculino,Valparaíso,Postgrado,5,48.61,No,7
201,Sarita,23.0,Femenino,Arica y Parinacota,Básica,5,36.73,Sí,2
202,Lorena,25.0,Masculino,Tarapacá,Básica,4,35.47,Sí,9
203,Abel,44.0,Femenino,Coquimbo,Media,3,28.96,Sí,7
204,Rocío,26.0,No binario,Tarapacá,Postgrado,3,50.63,,6
205,Jose Carlos,54.0,Masculino,Los Lagos,Postgrado,2,29.69,No,4
206,Maricela,50.0,Femenino,Ñuble,Técnica,4,45.12,No,5
207,Valeria,,Masculino,Arica y Parinacota,,5,24.25,,3
208,Baldomero,59.0,Masculino,Valparaíso,Postgrado,4,37.17,Sí,3
209,Aurelia,61.0,Femenino,Magallanes,Básica,4,48.98,Sí,8
210,Leocadia,41.0,Masculino,O’Higgins,Postgrado,2,21.52,Sí,4
211,Montserrat,,No binario,O’Higgins,,3,,No,5
212,Anacleto,49.0,Femenino,Los Ríos,Básica,4,22.94,Sí,6
213,Isidro,49.0,Masculino,Los Ríos,Postgrado,4,34.3,,4
214,José Antonio,41.0,Masculino,Magallanes,Básica,4,48.94,Sí,4
215,Salomé,58.0,Masculino,O’Higgins,Técnica,1,20.67,Sí,4
216,Jovita,69.0,Masculino,Magallanes,Universitaria,4,31.56,No,4
217,Felix,66.0,Masculino,Biobío,Básica,4,21.66,Sí,6
218,Malena,66.0,Masculino,Magallanes,Básica,5,28.71,Sí,4
219,Cristian,69.0,Femenino,Valparaíso,Postgrado,1,,Sí,5
220,Ciriaco,29.0,,Biobío,Básica,4,27.02,Sí,5
221,Lola,56.0,Femenino,Antofagasta,Media,4,45.74,,7
222,Rosa María,19.0,Femenino,Arica y Parinacota,Media,2,34.83,No,2
223,Natalio,,Masculino,Tarapacá,Técnica,2,16.77,No,2
224,Gervasio,66.0,Masculino,Coquimbo,,1,33.2,No,6
225,Cruz,54.0,Femenino,Los Ríos,Postgrado,5,44.61,No,4
226,Víctor,66.0,Femenino,Ñuble,Postgrado,1,35.42,Sí,5
227,Reina,34.0,Masculino,Coquimbo,,1,,Sí,2
228,Paloma,66.0,Femenino,Ñuble,,2,27.02,Sí,3
229,Rosalía,19.0,Femenino,Los Lagos,Postgrado,2,29.03,No,5
230,Emelina,19.0,Femenino,Arica y Parinacota,Universitaria,5,30.11,No,7
231,Felicia,45.0,Masculino,Magallanes,Postgrado,4,5.54,Sí,6
232,Glauco,40.0,,Arica y Parinacota,Universitaria,5,34.64,,8
233,Wilfredo,54.0,Femenino,Aysén,,4,39.97,Sí,2
234,Wálter,49.0,Femenino,Maule,Media,3,22.52,Sí,4
235,Marita,50.0,Femenino,Tarapacá,Postgrado,2,32.32,,6
236,Desiderio,18.0,Femenino,Metropolitana,Técnica,3,33.54,Sí,7
237,Ambrosio,36.0,Femenino,Ñuble,Básica,3,38.1,Sí,4
238,Jacinta,19.0,Masculino,Magallanes,Técnica,2,30.12,Sí,7
239,Evita,61.0,Femenino,Atacama,Técnica,3,35.4,,6
240,Ruperta,43.0,Femenino,Metropolitana,Básica,1,18.38,Sí,10
241,Jose Angel,49.0,Femenino,O’Higgins,,4,19.86,No,9
242,Josep,23.0,Masculino,Magallanes,Media,5,34.31,Sí,4
243,Pelayo,49.0,Masculino,Coquimbo,Básica,2,27.7,No,4
244,Flavia,21.0,Femenino,Los Ríos,Universitaria,1,14.19,No,2
245,Anselma,28.0,Femenino,Araucanía,Técnica,5,33.47,No,6
246,Nazario,34.0,No binario,Araucanía,Postgrado,5,17.25,Sí,3
247,Gerardo,55.0,Femenino,Arica y Parinacota,Media,5,,Sí,8
248,Morena,41.0,Femenino,Magallanes,Postgrado,3,8.24,Sí,5
249,Aarón,22.0,Femenino,Atacama,Básica,3,,Sí,3
250,Nando,69.0,Femenino,Ñuble,Postgrado,3,18.84,Sí,6
251,Gonzalo,,Femenino,Magallanes,Postgrado,3,39.16,Sí,2
252,Constanza,23.0,Femenino,Antofagasta,Técnica,1,25.97,Sí,7
253,Blas,39.0,Masculino,Ñuble,,3,,No,3
254,Bruno,28.0,Femenino,Aysén,Postgrado,2,37.67,Sí,4
255,Mercedes,,Femenino,Araucanía,Media,5,19.32,No,4
256,Candelaria,33.0,Masculino,Coquimbo,Básica,1,22.73,Sí,12
257,Marta,50.0,Masculino,Ñuble,Media,3,26.55,Sí,5
258,Encarnita,26.0,Masculino,Los Ríos,Universitaria,5,29.32,Sí,6
259,Manu,23.0,Masculino,Ñuble,Postgrado,1,28.04,No,2
260,Armando,33.0,,Los Ríos,Básica,5,37.28,No,8
261,Fermín,46.0,Masculino,Valparaíso,Media,1,32.34,No,10
262,Ricarda,20.0,No binario,Tarapacá,Postgrado,4,23.87,Sí,1
263,Mariano,,Femenino,Metropolitana,,1,20.88,Sí,2
264,Poncio,53.0,Masculino,Los Ríos,,3,,Sí,4
265,Alex,36.0,,Antofagasta,Media,5,33.3,Sí,8
266,Lorenzo,43.0,Femenino,Aysén,Universitaria,5,28.07,No,5
267,Severiano,20.0,Masculino,Arica y Parinacota,Técnica,5,50.8,No,5
268,Silvio,36.0,Femenino,Ñuble,Universitaria,2,30.0,Sí,3
269,Teófilo,37.0,Femenino,Antofagasta,Técnica,2,31.89,No,6
270,Eulalia,49.0,Femenino,Maule,Media,3,11.99,Sí,5
271,Josep,24.0,,Ñuble,Universitaria,4,16.62,Sí,8
272,Severino,69.0,Femenino,Biobío,Postgrado,2,18.79,Sí,4
273,Domitila,58.0,Masculino,Biobío,,1,,Sí,3
274,Marcio,50.0,No binario,Aysén,Media,3,15.18,,4
275,Marco,57.0,Femenino,Valparaíso,Básica,4,18.45,Sí,3
276,Epifanio,56.0,Masculino,Biobío,Técnica,1,36.65,No,2
277,Ismael,35.0,Masculino,Valparaíso,,5,21.4,Sí,1
278,Isaura,57.0,Masculino,Atacama,,2,29.59,Sí,4
279,Isabela,18.0,,Aysén,Técnica,1,35.92,Sí,8
280,Otilia,,Masculino,O’Higgins,Técnica,4,39.47,No,5
281,Román,45.0,Femenino,Coquimbo,Postgrado,3,32.93,Sí,3
282,Kike,42.0,Masculino,Metropolitana,Postgrado,1,33.53,No,3
283,Eleuterio,67.0,Femenino,Maule,Universitaria,3,39.77,Sí,6
284,Feliciano,40.0,Femenino,Los Ríos,Media,5,34.14,Sí,5
285,Amílcar,48.0,Femenino,Los Ríos,Media,4,40.35,Sí,1
286,Ricarda,,Femenino,Magallanes,Universitaria,4,8.57,Sí,5
287,Ramiro,59.0,Masculino,Los Lagos,Media,2,29.16,Sí,2
288,Encarnacion,52.0,Masculino,Magallanes,,4,30.56,Sí,4
289,Rubén,,Femenino,Magallanes,Universitaria,1,28.82,Sí,8
290,Miriam,33.0,Masculino,Coquimbo,Universitaria,1,31.23,Sí,1
291,José Manuel,43.0,,Biobío,Media,1,25.92,Sí,7
292,Francisca,,Masculino,Los Lagos,Básica,5,37.89,No,6
293,Plácido,69.0,Masculino,Coquimbo,Media,4,24.64,No,1
294,Fito,66.0,Masculino,Los Lagos,Básica,4,27.82,No,5
295,Dimas,,Femenino,Atacama,,1,44.44,Sí,10
296,Corona,18.0,Masculino,Valparaíso,Básica,2,43.04,Sí,7
297,Alicia,65.0,Femenino,Tarapacá,Técnica,2,31.58,No,6
298,Rosario,29.0,Masculino,Antofagasta,Postgrado,4,23.63,Sí,6
299,Arsenio,22.0,Femenino,Arica y Parinacota,Básica,4,13.66,No,4
300,Eutropio,54.0,Masculino,Tarapacá,Postgrado,3,28.69,No,6
301,Albina,49.0,Femenino,Tarapacá,Técnica,4,35.08,Sí,5
302,Salomé,26.0,Femenino,O’Higgins,,1,22.79,Sí,4
303,Eligia,58.0,Masculino,O’Higgins,Técnica,5,30.06,No,8
304,Glauco,52.0,No binario,Tarapacá,Postgrado,4,26.52,No,7
305,Clotilde,36.0,,Los Ríos,Postgrado,4,12.78,No,3
306,Juliana,65.0,Femenino,Los Lagos,Media,1,31.17,Sí,10
307,Nicodemo,33.0,Femenino,Valparaíso,Básica,3,34.35,Sí,4
308,Crescencia,20.0,Masculino,Aysén,Postgrado,4,31.59,Sí,4
309,Ernesto,,Femenino,Coquimbo,,2,46.12,Sí,7
310,Pelayo,41.0,Masculino,Antofagasta,,2,26.78,Sí,5
311,Máximo,50.0,Masculino,Coquimbo,Básica,2,,No,5
312,Odalys,41.0,,Coquimbo,Media,5,51.66,Sí,5
313,Leonel,69.0,Masculino,Coquimbo,Básica,5,17.51,Sí,2
314,Mercedes,28.0,Femenino,Antofagasta,Técnica,4,23.8,Sí,3
315,Pepito,66.0,Femenino,Aysén,Postgrado,4,33.61,Sí,4
316,Guadalupe,25.0,Femenino,Antofagasta,Universitaria,4,41.25,No,2
317,Odalis,53.0,No binario,Atacama,Media,5,39.35,No,2
318,Trinidad,55.0,Masculino,Metropolitana,Media,4,19.6,Sí,4
319,Sara,57.0,Masculino,Araucanía,Media,1,,Sí,1
320,Bartolomé,,Masculino,Araucanía,Media,3,,Sí,1
321,Albina,52.0,Masculino,Araucanía,Postgrado,2,21.81,Sí,5
322,Fanny,65.0,Masculino,Los Lagos,Básica,2,22.65,Sí,3
323,Porfirio,42.0,Masculino,Tarapacá,Postgrado,1,30.72,Sí,3
324,Leire,52.0,Femenino,Ñuble,Técnica,4,51.52,No,5
325,Marco,42.0,Femenino,Atacama,Postgrado,5,32.12,Sí,4
326,Claudio,46.0,Masculino,Atacama,,4,51.43,,3
327,Evelia,35.0,,Arica y Parinacota,Técnica,4,38.78,Sí,0
328,Augusto,,Masculino,Magallanes,Postgrado,2,17.38,No,7
329,Nadia,35.0,Masculino,Ñuble,Básica,2,44.08,,6
330,Delfina,19.0,Femenino,Magallanes,Universitaria,5,20.56,No,5
331,Rufina,52.0,Femenino,O’Higgins,Técnica,2,23.85,Sí,5
332,Yago,33.0,Femenino,Arica y Parinacota,Media,4,32.76,Sí,4
333,Wilfredo,58.0,Masculino,O’Higgins,Básica,1,29.72,No,7
334,Apolinar,,Femenino,Metropolitana,,5,38.93,No,8
335,Blas,50.0,,Maule,Básica,1,35.02,Sí,3
336,Candelas,21.0,Femenino,O’Higgins,Básica,4,28.82,Sí,4
337,Mariana,,Femenino,Magallanes,Media,5,46.99,Sí,6
338,Fulgencio,31.0,Femenino,Coquimbo,Universitaria,1,25.25,No,4
339,Jose Francisco,38.0,Femenino,O’Higgins,,5,20.0,Sí,5
340,Adelardo,65.0,Femenino,Los Lagos,Media,4,34.63,Sí,6
341,Porfirio,37.0,No binario,Aysén,Técnica,5,29.82,No,2
342,Teodora,25.0,,Biobío,Media,4,32.45,No,11
343,Adora,,Masculino,Ñuble,,5,37.38,Sí,5
344,Rosalía,20.0,,Araucanía,Media,5,28.15,Sí,5
345,Gertrudis,,Masculino,Magallanes,Media,2,48.59,Sí,5
346,Martirio,50.0,Masculino,Aysén,Media,4,32.65,Sí,3
347,Liliana,65.0,Femenino,Araucanía,Básica,3,25.5,Sí,4
348,Sabas,,No binario,Antofagasta,Universitaria,5,35.9,Sí,8
349,Hilda,68.0,No binario,Aysén,Media,1,29.15,Sí,6
350,Jesusa,39.0,Masculino,Ñuble,Media,2,31.13,Sí,6
351,Ale,39.0,Femenino,Metropolitana,Postgrado,2,18.94,No,7
352,Agustín,63.0,Masculino,Araucanía,Postgrado,5,20.07,No,5
353,Benigno,47.0,No binario,Atacama,Técnica,3,40.62,Sí,8
354,Candelario,55.0,No binario,Coquimbo,Técnica,2,17.66,No,5
355,Martin,55.0,Femenino,Magallanes,Postgrado,4,28.78,Sí,2
356,Mar,62.0,,Maule,Universitaria,5,33.26,No,1
357,Claudio,68.0,Femenino,Metropolitana,Técnica,5,44.13,Sí,6
358,Dolores,25.0,Femenino,Atacama,Universitaria,3,25.19,No,8
359,Salvador,44.0,Masculino,Valparaíso,Postgrado,4,37.59,Sí,6
360,Basilio,44.0,,Ñuble,Técnica,4,28.79,Sí,4
361,Ofelia,51.0,Femenino,Los Lagos,Media,3,8.2,No,6
362,Rosalva,38.0,Femenino,Biobío,Postgrado,1,,Sí,4
363,Humberto,47.0,Masculino,Metropolitana,Técnica,4,29.33,Sí,2
364,Evelia,50.0,No binario,Los Ríos,Universitaria,1,34.25,Sí,2
365,Elena,45.0,Masculino,Ñuble,Universitaria,1,23.57,Sí,2
366,Esperanza,64.0,Femenino,Los Ríos,Técnica,5,24.64,Sí,7
367,Olegario,,Femenino,Maule,Universitaria,5,42.01,Sí,4
368,Aníbal,22.0,Femenino,Atacama,,2,26.64,,6
369,Sarita,65.0,Femenino,Magallanes,Técnica,5,10.87,Sí,5
370,Javiera,36.0,Masculino,Ñuble,Universitaria,4,34.9,No,4
371,Pánfilo,21.0,Masculino,Antofagasta,Básica,4,38.63,Sí,2
372,Carlito,52.0,Femenino,O’Higgins,Media,1,38.54,Sí,6
373,Ambrosio,66.0,Femenino,Aysén,Postgrado,4,23.85,Sí,5
374,Urbano,34.0,Masculino,Arica y Parinacota,Media,5,30.0,No,3
375,Reynaldo,61.0,Femenino,Maule,Postgrado,5,,No,5
